"file_name","start_date","end_date","salary_start","salary_end","classcode","req","notes","duties","selection","experience_length","education_length","application_location"
"SYSTEMS PROGRAMMER            ","2016-09-16","2016-12-05","89575.0","130980.0","1455","1. A bachelor's degree from an accredited four-year college or university; and two (2) years of full-time paid systems implementation experience in either: 1) installing, configuring, maintaining, performance tuning, patching, and securing enterprise level servers; or 2) planning, configuring, and implementing  enterprise systems and applications operating over large computing networks serving local and remote facilities; or 3) preparing programs by analyzing specifications developed by systems professionals and determining computer processing requirements, systems and/or programming flowcharts, code programs, and software solutions; or  2. Two years of full-time paid experience with the City of Los Angeles as a Programmer Analyst; or  3. Four years of full-time paid systems implementation experience with the City of Los Angeles as a Systems Analyst with experience in either 1) installing, configuring, maintaining, performance tuning, patching, and securing enterprise level servers; or 2) planning, configuring, and implementing enterprise systems and applications operating over large computing networks serving local and remote facilities.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Systems Programmer evaluates, develops, maintains, implements, and modifies operating systems, hardware, middleware, software, storage, and networking in a business applications environment; performs hardware-software studies; designs and implements systems architecture; analyzes systems problems and optimizes systems performance; performs systems upgrades; follows Information Technology Infrastructure Library (ITIL) and security best practices for incident, change and release management, and all aspects of network and server operations; provides technical assistance to other data processing personnel and user divisions or departments; may supervise and direct the work of employees engaged in such activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Test]","Two","four","Mail or In Person"
"ENVIRONMENTAL COMPLIANCE INSPECTOR ","2016-08-05","2016-08-25","62661.0","91642.0","4292","1. Two years of full-time paid experience in a position at the level of Laboratory Technician in physical or chemical testing, in wastewater and/or stormwater treatment, or in explaining or enforcing environmental health laws, ordinances, or regulations pertaining to wastewater and/or stormwater treatment; or  2. Completion of 24 semester or 36 quarter units from an accredited college or university in biology, chemistry, environmental science, biochemistry, solid waste management technology, water supply technology, stormwater or wastewater treatment technology, or engineering.      SELECTIVE CERTIFICATION         In accordance with Charter Section 1010(b) and Civil Service Commission Rule 5.31, selective certification will be used for some positions that require special skills and/or training in one or more of the following areas. Only persons possessing the following may be considered for appointment to fill such positions:    1. Possession of a California Commission on Peace Officer Standards and Training (P.O.S.T.) Penal Code Section 832 Certificate (Arrest and Firearms Course).  2. Current registration as a Registered Environmental Health Specialist with the California Department of Public Health.  3. Possession of a current Hazardous Waste Operations and Emergency Response Standard (HAZWOPERS) certification (40-hour training), or a Hazardous Materials Specialist (HAZMAT) certification, both as certified by the California Specialized Training Institute, Office of Emergency Services.","1. In some positions, higher salaries are paid for night work.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.",,"[Test]","Two",,"Online"
"SYSTEMS ANALYST ","2017-10-27","2018-01-06","68611.0","100307.0","1596","1. Graduation from an accredited four-year college or university with a major in Computer Science, Information Systems, or Geographical Information Systems; or  2. Graduation from an accredited four-year college or university and two years of full-time paid experience in a class at the level of Management Assistant which provides experience in:  a. the development, analysis, implementation or major modification of new or existing computer-based information systems or relational databases; or  b. performing cost benefit, feasibility and requirements analysis for a large-scale computer-based information system; or  c. performing system implementation and support activities including software and hardware acquisition, installation, modifications to system configuration, system and application upgrade installation; or  3. Two years of full-time paid experience as a Systems Aide with the City of Los Angeles; and  a. Satisfactory completion of four courses, of at least three semester or four quarter units each, in Information Systems, Systems Analysis, or a closely related degree program, professional designation, or certificate program from an accredited college or university.  b. At least three of the courses must be from the core courses required in the program, and one course may be from either the required core courses or the prescribed elective courses of the program.  A course in systems analysis and design is especially desired, but not required.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.    2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  3. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.","A Systems Analyst analyzes procedures, methods and operations of computer-based information systems; designs, implements, and recommends information systems to improve the efficiency and economy of City operations; performs cost benefit and feasibility analyses related to the modification of existing computer-based information systems, the maintenance and support of information systems, or the implementation of new computer-based systems; accesses and analyzes information from automated files using high-level retrieval languages.","[Test]","two","four","Online"
"SENIOR REAL ESTATE OFFICER ","2018-04-13","2018-04-26","83352.0","121876.0","1961","1.	Two years of full-time paid real estate experience with the City of Los Angeles as a Real Estate Officer; or  2.	Graduation from an accredited four year college or university with a Bachelors degree in Economics, Business Administration, Accounting, or Finance, or a Bachelor's degree in any major and successful completion of the following four courses: Real Estate Principles, Real Estate Finance, Real Estate Appraisal and Real Estate Law, plus an additional 12 semester units or 16 quarter units of courses in either real estate, finance or business; and  3.	Five years of full-time paid real estate experience personally performing work which provides experience in one or more of the following areas:  a. acquisition, divestiture, sale or rental of commercial, residential, residential income, agricultural and/or industrial real properties;  b. property management of commercial, residential income, agricultural and/or industrial properties;  c. asset management and/or development or redevelopment of real estate portfolios;  d. appraisal of vacant land and agricultural, commercial, industrial and residential properties; valuation experience with income  properties, land, improvements, total (land and improvements) property, severance damages, the cost to cure, eminent domain, ad valorem, fair market rent leasehold and leased fee interests and discounted cash flow analysis;   e. administering and providing relocation assistance to persons or businesses or farms under federal or State of California regulations.","1. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.   2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Senior Real Estate Officer personally performs complex tasks involving real property rights that include, but are not limited to: negotiations, acquisitions, accounting dispositions, leasing, rental rate adjustments, and appraisals; may also assign, review, and evaluate the work of a group of technical employees engaged in negotiating for the acquisition, leasing, rental, or sale of real property rights; conducts relocation studies; makes valuation appraisals of real property to be acquired, sold, or leased to or by the City; appraises damages and special benefits to private and public property resulting from proposed public improvements or public utility installations; creates and implements property management programs to ensure permit/lease compliance and to protect the City's assets; manages contracts for services such as appraisals, relocations, and acquisitions; and manages City-owned buildings; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Interview]","Two","four","Online"
"CITY PLANNING ASSOCIATE ","2017-11-03","2017-11-16","72432.0","105903.0","7941","1.  Graduation from an accredited four-year college or university and four years of full-time paid professional experience in long-range and/or current urban planning; or  2.	Graduation from an accredited four-year college or university with a major in urban planning, urban studies, urban design, architecture, landscape architecture, geography or a closely-related field and two years of full-time paid professional experience in long-range and/or current urban planning; or  3. Two years of full-time paid professional planning experience as a Planning Assistant with the City of Los Angeles.    One year of graduate study in Urban Planning or a closely related field with completion of 24 semester units or 36 quarter units may be substituted for up to one year of the required professional planning experience.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. Annual salary is the beginning of the pay range. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A City Planning Associate does professional city planning work in long-range and policy planning, including citywide, community, and neighborhood planning; and project planning, including review, research, analysis, and clearance of land use proposals, development projects, and site plans.","[Test, Essay, Interview]","four","four","Online"
"CONSTRUCTION INSPECTOR ","2017-04-21",,"80283.0","97092.0","7291","1. One year of full-time paid experience as a City of Los Angeles Assistant Inspector IV with the Department of Public Works, Bureau of Contract Administration; or  2. Three years of full-time paid experience in inspection or construction supervision of commercial or public works projects; or  3. Four years of full-time paid experience as a member of a survey crew performing commercial or public works construction surveying; or  4. Six years of full-time paid experience in a construction trade working on commercial or public works projects; or  5. Four years of full-time paid experience as a drafting technician or an engineering designer involved in the design of commercial or public works projects; or  6. Four years of full-time paid experience in materials testing or construction management on commercial or public works projects; or  7. Completion of 60 semester or 90 quarter units from an accredited college or university with at least 12 semester or 18 quarter units in any of the following areas: engineering; construction; design; building inspection technology; construction inspection; public works construction; architectural drafting; geology; civil, mechanical, electrical, or fire protection engineering technology; math; or physics, and two years of full-time paid experience working on commercial or public works projects; or  8. Completion of a recognized four-year apprenticeship and two years of full-time paid experience working on commercial or public works projects.","1. In some positions, higher salaries are paid for night work or hazardous work. An employee in this position may be subject to weekend and evening work assignments in some City departments.  2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Construction Inspector inspects the construction of a wide variety of public works, public improvements, or public utilities projects to ensure conformance to plans, specifications, contracts, permits, environmental documents, agreements for work, and may provide construction inspection support.","[Questionnaire]","One",,"Mail or In Person"
"DIVISION LIBRARIAN ","2017-01-27","2017-03-09","120645.0","171654.0","6157","1. Two years of full-time paid professional experience as a Principal Librarian with the City of Los Angeles; or  2. A master's degree in Library Science or Library and Information Science from a school accredited by the American Library Association and two years of full-time paid professional librarian experience, at the level of Principal Librarian with the City of Los Angeles, working in areas such as:  -	Coordinating and developing library services, establishing library operating policies and procedures, and effectively utilizing library personnel to ensure full public services throughout a library system or region;  -	Administering the maintenance and development of a library materials collection throughout a library system, region, or in a central library subject department;  -	Administering cooperative programs with schools, community groups, and businesses to define appropriate library services throughout a library system or region.","The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Division Librarian plans, organizes, and directs the work of professional and support library personnel who are providing library services to the public or supporting library services in a major division of the Los Angeles Public Library; heads a major library division such as Central Library Services, Branch Library Services, Emerging Technologies and Collections, or Engagement and Learning; assists with budget and financial reporting; assists with strategic planning activities; may represent the Library Department before elected officials, municipal agencies, and other public and private organizations; applies sound supervisory and management principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Interview]","Two",,"Mail or In Person"
"SENIOR PERSONNEL ANALYST   ","2018-12-07","2019-01-11","86338.0","126198.0","9167","1. Two years of full-time paid experience as a Personnel Analyst, Personnel Research Analyst, or Senior Workers' Compensation Analyst with the City of Los Angeles; or  2. Two years of full-time paid experience as a Management Analyst with the City of Los Angeles performing personnel administration work in a centralized staff agency or operating department personnel office.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Senior Personnel Analyst performs difficult technical personnel staff assignments in employee selection, position classification, recruitment, personnel development, administration of employee development, training, personnel research, benefits administration, employee relations, equal employment opportunity, or departmental personnel administration; assigns, reviews, and evaluates the work of professional staff engaged in the above activities or plans, organizes, and directs the work of a major unit or section of professional and nonprofessional staff either in a centralized staff agency or in an operating department, or may act as the assistant head of a major staff or operating division; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Essay, Exercise, Interview]","Two",,"Online"
"EMERGENCY MANAGEMENT COORDINATOR ","2018-10-26","2018-11-08","82789.0","121020.0","1702","1. Graduation from an accredited four-year college or university with a major in emergency management, homeland security, public health, public administration, or a closely-related field; and two years of full-time paid professional experience administering or coordinating a broad based disaster preparedness or emergency operations program for a government agency, emergency services organization, or large company, including developing, analyzing, or revising emergency response or recovery plans, training programs and exercises for large scale natural or human-caused disasters; or  2. Graduation from an accredited four-year college or university; and completion of the Emergency Management Specialist Certificate Program by the California Governor's Office of Emergency Services, California Specialized Training Institute; and two years of full-time, paid professional experience administering or coordinating a broad based disaster preparedness or emergency operations program for a government agency, emergency services organization, or large company, including developing, analyzing, or revising emergency response or recovery plans, training programs and exercises for large scale natural or human-caused disasters; or  3. Two years of full-time paid experience as a Management Analyst or in a class at the level working as a City department's representative to the City of Los Angeles' Emergency Operations Organization in administering or coordinating a City department's emergency management program, including developing, analyzing, or revising emergency response or recovery plans, training programs and exercises for large scale natural or human-caused disasters.    A master's degree from an accredited college or university in emergency management, homeland security, or public health may be substituted for a maximum of one year of the required experience.","1. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.","An Emergency Management Coordinator is responsible for developing, coordinating, implementing, and administering comprehensive emergency management programs including disaster preparedness, response, recovery, and mitigation Citywide or for individual City departments, including developing and maintaining emergency response and continuity of operations plans, standard operating procedures, and related training programs, exercises and drills; performs community education and outreach programs on disaster preparedness and planning; works with other City departments, governmental and private agencies, and community based organizations to develop and implement emergency management programs for the City of Los Angeles; analyzes and prepares comprehensive reports, research, recommendations, and correspondence for their assigned department or other administrative bodies as directed; may be assigned emergency response roles in various locations; and may supervise other Emergency Management Coordinators, City employees in other classifications, and/or volunteers involved in emergency management work.",,"two","four","Online"
"HEAVY DUTY EQUIPMENT MECHANIC ","2017-02-17",,,,"3743","1. Completion of a recognized apprenticeship as a heavy duty equipment mechanic; or  2. Two years of full-time paid experience as a journey-level equipment mechanic which includes the repair of a variety of heavy duty gasoline and diesel powered vehicles or off road construction equipment or watercraft; or  3. Five years of full-time paid experience in equipment maintenance and repair, of which two years must have been in the maintenance and repair of heavy duty gasoline and diesel powered vehicles or off road construction equipment or watercraft. Completion of an auto or truck mechanics program at a recognized institution may be substituted on a year-for-year basis for experience lacking in equipment maintenance and repair up to a maximum of two years. (30 semester or 45 quarter units from an accredited college or trade school is equal to one year.)","1. The salary in the Department of Water and Power is $90,180 (flat-rated) or $92,080 (flat-rated).  2. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  3. Candidates from the eligible list are normally appointed to vacancies in the lower flat-rated positions.  4. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Heavy Duty Equipment Mechanic does journey-level work in the maintenance and repair of construction, road maintenance, marine, or firefighting equipment; or builds and installs or modifies equipment for special purposes.","[Interview]","Two",,"Online"
"AUDITOR ","2016-03-18","2016-03-31","54455.0","79594.0","1517",,"1. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.",,"[Test, Essay, Interview]","One","four","Online"
"TREE SURGEON SUPERVISOR ","2017-03-03","2017-03-16","59215.0","84250.0","3117","1. Three years of full-time paid experience with the City of Los Angeles as a Tree Surgeon; or  2. Four years of full-time paid experience in a position at the level of a Tree Surgeon performing duties which includes climbing trees, using climbers, ropes and safety belts and using power saws, aerial lifts, power winches, booms or similar equipment.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Tree Surgeon Supervisor assigns, reviews and evaluates the work of a number of small crews or supervises a crew engaged in tree trimming activities for a department or in an area of the City; or assists a Street Tree Superintendent by directing and coordinating street tree trimming activities in a major section of the City; or inspects trees to ensure street trees are trimmed in compliance with Los Angeles Municipal Code requirements; or inspects overhead electrical facilities and lines to determine tree interference and prepares the related reports; applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.","[Test, Essay, Interview]","Three",,"Online"
"PERFORMING ARTS DIRECTOR ","2017-02-03",,"74854.0","109432.0","2449","1. Graduation from an accredited four-year college or university; and either  2. Three years of full-time paid experience with the City of Los Angeles at the level of Performing Arts Program Coordinator with experience in planning, staging and producing professional visual, musical, theatrical, or dance programs or productions; or   3. Four years of full-time paid experience managing, booking, producing and/or presenting professional festival, musical, theatrical, or dance productions; or  4. Four years of full-time paid experience designing, implementing, and managing large-scale art programs or events, which include fund development strategies and stakeholder outreach.    Full-time paid performing arts experience, including behind-the-scenes coordination, may be substituted on a year for year basis for each year of education lacking.","The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","The Performing Arts Director plans, organizes and directs the work of employees engaged in the production and presentation of performing arts programs and events that promote public interest; oversees the City's municipal theatres; advises on public policy issues related to performing arts; develops and implements plans to meet the City's community and cultural needs through the arts; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Questionnaire, Interview]","Three","four","Mail or In Person"
"REFUSE COLLECTION TRUCK OPERATOR ","2017-02-17","2017-02-28","47042.0","66920.0","3580","1. One year of full-time paid experience in driving a truck with a gross vehicle weight loaded of 28,000 pounds or more.  (Applicants must include the gross vehicle weight of the vehicle on the application form or the application will not be processed); and  2. A valid Class B California driver's license is required (no permits will be accepted), and a medical certificate approved by the State of California, Department of Motor Vehicles.    3. Equivalent experience gained in a training capacity as a Maintenance Laborer, Truck Operator, Street Services Worker, or Construction Equipment Service Worker with the City of Los Angeles may be substituted for the above experience by submitting a completed ""Verification of Work Experience"" (VWE) form.   4. A certificate of satisfactory completion of an approved training course in truck operation, including at least one month of behind-the-wheel instruction in vehicles 28,000 pounds gross vehicle weight or more, may be substituted for 6 months of the required experience.","1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Refuse Collection Truck Operator loads and unloads a refuse collection vehicle, drives a refuse collection vehicle, operates mechanical attachments on the vehicle, and may work as a manual laborer or lead a small manual labor crew during periods of the day when not driving.","[Test]","One",,"Online"
"HEAVY DUTY TRUCK OPERATOR ","2016-12-23","2017-01-05","54037.0","65333.0","3584","1. A valid California Class A driver's license and valid medical certificate approved by the State of California Department of Motor Vehicles; and  2. Either:  A. Two years of full-time paid experience driving a truck of more than 26,001 pounds gross vehicle weight; or  B. Two years of equivalent experience with the City of Los Angeles in a training capacity as a Maintenance and Construction Helper, Maintenance Laborer, Truck Operator, Street Services Worker, or Construction Equipment Service Worker.    Successful completion of an approved training course in truck operation, including at least one month of behind-the-wheel instruction in vehicles of more than 26,001 pounds gross vehicle weight, may be substituted for six months of the above experience.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Heavy Duty Truck Operator drives a heavy duty truck or truck-trailer combination, a special purpose truck, or other heavy duty truck safely, lawfully, and skillfully; operates mechanical attachments on the truck; and may act as a lead worker or helper in a crew when not driving.","[Test]","Two",,"Online"
"OPERATIONS AND STATISTICAL RESEARCH ANALYST ","2017-11-03","2017-11-16","71263.0","101393.0","1779","1.	Graduation from an accredited four-year college or university with 12 semester or 18 quarter units in upper-division mathematics or statistics; and  2.	Two (2) years of full-time paid professional experience in applying advanced statistical or mathematical techniques.    Satisfactory completion of 15 semester units or 20 quarter units of graduate level work in statistical or quantitative analyses may be substituted for one year of the required professional experience.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per/lacity.org/Reciprocity_CityDepts_and_Dwp.pdf.   2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","An Operations and Statistical Research Analyst conducts analysis and research related to urban planning, transportation, airports, utilities, police and other citywide planning and operational issues, and prepares and interprets quantitative analyses through the application of statistical and quantitative analysis concepts and techniques, mathematical models and simulation programs; may use statistical and general software packages involving the use of a personal computer or mainframe terminal; prepares forecasts and develops forecasting models; may supervise and participate in the work of a small staff engaged in the above work; and performs other related duties.",,"Two","four","Online"
"SECURITY OFFICER ","2017-04-07","2017-06-10","41342.0","60405.0","3181","1. One year of full-time paid experience as a security guard, security officer, security aide, law enforcement officer, correctional officer, traffic officer, park ranger, firefighter, or Police Student Worker (with the City of Los Angeles); or  2. One year of preparation as a police explorer with a law enforcement agency or fire explorer with a fire department; or  3. One year of full-time service, with satisfactory performance, or two years as a reservist, with satisfactory performance, in the United States Armed Forces; or   4. Completion of 12 semester units or 18 quarter units from an accredited college or university, half of which (6 semester or 9 quarter units) must have been in criminal justice or a behavioral science.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Security Officer patrols and safeguards City-owned buildings, parks, reservoirs, facilities, grounds, and equipment; answers questions and directs visitors/patrons; assures that only authorized persons enter buildings, yards, and other restricted areas; prepares reports and keeps records; may make preliminary investigations of accidents, thefts, and disturbances; may issue warnings or citations for illegal parking; may testify in court and may detain violators pending the arrival of a peace officer.","[Experience]","One",,"Mail or In Person"
"ELECTRICAL TESTER   	 ","2016-10-28","2017-01-08","54079.0","67170.0","7512","1. Six months of full-time paid experience and current employment as a helper or trainee for a utility performing work on equipment and circuits, construction and maintenance; or  2.	Completion of eight months in the Utility Pre-Craft Trainee training program sponsored by the Los Angeles Department of Water and Power; or  3.	Successful completion of three semester units or four quarter units from an accredited college or university or trade school in physics, chemistry, electricity, or electronics; or   4.	Successful completion of the Pre-Electrical Craft Helper training course presented by the Los Angeles Trade Technical College; or  5.	Six months of full-time experience performing electrical work on equipment and circuits in the maintenance or construction of electrical systems while in the United States Armed Forces.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","An entry-level Electrical Tester receives intensive classroom and on-the-job instruction and training. The trainee is supervised by a Senior Electrical Tester and works as a trainee assisting journey-level electrical workers within the Testing Laboratories in the performance of diagnostic tests, calibration, repair, maintenance, and adjustments on: high and low voltage electrical circuits, equipment and related material; meters, smart-grid systems, conventional and renewable generation resources, control circuits, instruments, relays and related equipment and materials; new locations; and performs related duties. A journey-level Electrical Tester: performs routine calibration tests of meters; makes routine electrical tests of material; assists in testing more complex electric instruments and equipment; tests and replaces electric meters, control and protective relays, instruments, transformers, and other equipment and materials; performs cathodic protection in underground and abovehead structures; performs infrared inspection of high voltage overhead distribution systems; and builds and test circuit boards, removes or replaces components, and tests communication levels, in regard to facility/substation Supervisory Control and Data Acquisition (SCADA) systems, Remote Terminal Units (RTU), and other control systems. Journey-level Electrical Testers may also: lead a group of employees engaged in field or laboratory electrical testing; perform the more difficult and advanced functions of electrical testing; and perform related duties.","[Test, Test]",,,"Online"
"EQUIPMENT MECHANIC (Automotive Mechanic) ","2018-05-18","2018-07-20",,,"3711","1. Completion of a recognized apprenticeship as an automotive mechanic; or  2. Completion of the Automotive Service Excellence (ASE) Master Technician Certification for Automobile Repair; or  3. Four years of full-time paid experience in automotive mechanic work; or  4. Satisfactory completion of a two-year program in automotive or truck mechanics from an accredited community college, trade or technical school and two years of full-time paid experience in automotive mechanic work.","1. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. In most of these positions, higher salaries are paid for work on special equipment or in work environments that may be noisy and/or contain unpleasant materials or odors.  4. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.","An Equipment Mechanic does skilled mechanical work in the maintenance and repair of automotive transportation equipment and inspects such equipment to determine needed repairs.","[Test]","Four",,"Online"
"ARCHITECTURAL DRAFTING TECHNICIAN ","2017-08-04","2017-08-24","50759.0","74228.0","7922","1. Two years of full-time paid drafting experience, one year of which was in architectural computer aided drafting and design work (CADD); or  2. One year of full-time paid architectural drafting experience and satisfactory completion of 6 semester or 9 quarter units in architectural drafting or design utilizing CADD systems, and 6 semester or 9 quarter units in mathematics at an accredited  college, university, or trade school.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","An Architectural Drafting Technician performs responsible sub-professional architectural work consisting of drafting, tracing, sketching, and computing, in the preparation of architectural and structural plans and designs.","[Test, Interview]","Two",,"Online"
"BUILDING OPERATING ENGINEER ","2018-11-16","2018-12-06",,,"5923","A valid unlimited Steam Engineer's license issued by the Department of Building and Safety of the City of Los Angeles is required at the time of filing.","1. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.   2. Some positions may require night and weekend work. Candidates willing to work various shifts are especially desired. Higher salaries are paid for shift work.","A Building Operating Engineer operates, monitors, and performs maintenance on high pressure gas or oil fired boilers, gas or steam turbines, energy recovery boilers and heat exchangers, other heating systems, and their auxiliaries in supplying steam or high temperature hot water for space heating and similar purposes; operates, monitors, and performs maintenance on large tonnage capacity chillers used for air-conditioning, including all auxiliary related equipment such as condensers, cooling towers, pumps, and air compressors; performs water treatment tests and analysis; monitors and maintains other building service equipment; operates and programs computer based building automation systems, trouble-shoot program control sequence of operation, operates and maintains various types of refrigeration and air conditioning air handling units, operates and monitors computer based lighting control systems; responds and investigates building tenant service requests; tests and monitors fire life and safety alarm systems; maintains the building operability while optimizing equipment performance for efficient energy management and energy reduction.","[Test, Interview]",,,"Online"
"SENIOR CONSTRUCTION ESTIMATOR ","2018-04-13","2018-04-26","80575.0","117784.0","3347","1. Two years of full-time paid experience with the City of Los Angeles as a Construction Estimator or in a class at that level, making cost and quantity estimates for the construction, alteration, and maintenance of large buildings or other public works improvements, under the Uniform Building Code or Los Angeles City Building Code; or  2. Four years of full-time paid experience, gained outside of the City of Los Angeles, making civil and structural cost and quantity estimates for large type I, II, III, IV, and V buildings or other public works improvements under the Uniform Building Code or Los Angeles City Building Code.","Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Senior Construction Estimator assigns, reviews and evaluates the work of a group of technical employees engaged in making cost estimates for the construction, alteration, and maintenance of City buildings and facilities; for the remodeling, replacement, and moving of private buildings as a result of public improvements, or for repair of wharves and piers at City harbor facilities; performs the more difficult work; applies sound supervisory principles and techniques in building and maintaining an effective workforce, and fulfills equal employment opportunity responsibilities.","[Essay]","Two",,"Online"
"ENVIRONMENTAL SUPERVISOR ","2018-05-25","2018-06-07","82496.0","120582.0","7304","1. Two years of full-time paid experience with the City of Los Angeles as an Environmental Specialist or in a class at that level which provides experience in the analysis or implementation of environmental legislation, regulations, policies and programs, or in the prediction, assessment, measurement, clean-up, and control of environmental pollutants; or  2. Graduation from an accredited four-year college or university AND three years of full-time paid professional experience in the analysis or implementation of environmental legislation, regulations, policies and programs, or in the prediction, assessment, measurement, clean-up and control of environmental pollutants.","1. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.   3. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf","An Environmental Supervisor assigns, reviews and evaluates the work of professional personnel and/or consultants engaged in the analysis, review, investigation, study and implementation of environmental policies, regulations, legislation and programs; personally performs the more difficult, technical and/or sensitive assignments; prepares environmental documents; manages large environmental and natural resources projects and programs including regulatory compliance programs and grant funded projects; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Essay, Interview]","Two","four","Online"
